episode,act,title,contributors,description,episode-act
205,0.01,Act One. It's Another Tequila Sunrise.,John Hodgman,"
John Hodgman first encountered Cuervo Man on a press junket to Cuervo Nation, a small island owned by Jose Cuervo Tequila. Cuervo Man was wearing nothing but a Speedo, wraparound shades, and a red cape. Occasionally he'd stick a toilet plunger on his bald head. John was fascinated and eventually got to know Cuervo Man, whose real name is Ryan McDonough. Though the Cuervo act was Ryan's Plan B, it had a special power that John couldn't help but envy. John Hodgman's most recent book is called That Is All. (19 minutes) Advertising/Marketing • Food/Drinks/Cooking John Hodgman
 
Song:
""Inside Out"", Eve 6
 
",205.01
205,0.02,Act Two. Why Talk?,Starlee Kine,"
Starlee Kine was becoming friends with a woman named Robin, when they started to encounter a common obstacle people run into when they become friends as adults. So Robin invented a Plan B to solve the problem. (6 minutes) Friendship Starlee Kine
 ",205.02
205,0.03,Act Three. Kidnapping As Plan B.,Ira Glass,"
Ira talks with Barry Keenan, who was living a lot of people's Plan A in the early 1960s. He was rich and successful. But when he lost all his money and got hooked on painkillers, he switched to a Plan B to make money. He decided to kidnap the 19-year-old Frank Sinatra, Jr. (11 minutes) Crime • Jobs/Employment Ira Glass
 
Song:
""All of Me"", Frank Sinatra
 
",205.03
205,0.04,Act Four. A Fate Most Of Us Fear.,Jonathan Goldstein,"
Jonathan Goldstein took a telemarketing job as a kind of temporary Plan B...never suspecting that it would be a ten-year chapter in his life. Jonathan hosts the CBC radio program WireTap. His newest book is called I'll Seize The Day Tomorrow (10 minutes) Jobs/Employment Jonathan Goldstein
 ",205.04
205,0.05,Act Five. The Accursed Items.,J. Robert Lennon,"
J. Robert Lennon reads an excerpt from his short story ""The Accursed Items,"" in which he demonstrates that even objects can fulfill a fate different from the one for which they were intended. Even inanimate objects can have a Plan B. Lennon's most recent novel is called Familiar. ""The Accursed Items"" will be published in a forthcoming collection of short stories. (6 minutes) Fiction J. Robert Lennon
 ",205.05
205,0.21,Credits.,,Credits,205.21
206,0.01,Act One.,"Alex Blumberg, Wendy Dorr, Ira Glass","Life aboard the USS John C. Stennis, an aircraft carrier that was stationed in the Arabian Sea and supported bombing missions over Afghanistan. Only a few dozen people on board actually fly jets. It takes the rest of the crew — over 5,000 people — to keep them in the air. This American Life producers visited the Stennis in 2002, about six weeks into its deployment. The hour is devoted to this one story.
9/11 • Afghanistan • Boats • Military • War Alex Blumberg
Wendy Dorr
Ira Glass
 ",206.01
206,0.01,Act One.,,"
Wendy Dorr and Ira Glass talk with various sailors aboard the Stennis, including Jessica Phillips, who just came on board six days earlier. People off duty play video games, work out, or practice in one of the ship's many garage bands.
",206.01
207,0.0,Prologue.,Ira Glass,"
Host Ira Glass talks with a bunch of special ed students. By and large, they thought of themselves as regular kids—until each experienced a shocking moment of revelation when they discovered that they were not the same as other kids, and that the other kids already knew that...and had known for a long time. (5 minutes) Childhood • Education Ira Glass
 ",207.0
207,0.01,Act One. Get On The Mic.,Ira Glass,"
Ira interviews three of the people involved in making the documentary How's Your News?, about a team of developmentally disabled people who travel across the country doing man-on-the-street interviews. He talks to two of the developmentally disabled reporters, Susan Harrington and Joe Simon, and to the film's non-disabled director, Arthur Bradford. Songs are sung.
Funny, endearing clips from the film are played. In 2009, How's Your News became a TV series on MTV. In 2010, Ron Simonsen passed away after a long
battle with Leukemia. Before he died, Ronnie realized his dream of meeting —
and befriending — actor Chad Everett. (19 minutes) Film/Film Making • Iraq • Journalism Ira Glass
 
Song:
""The Grand Canyon"", Susan Harrington 
 
",207.01
207,0.02,Act Two. Black Hole Son.,,"
We hear from a mother and her son. By age seven, he'd had heart failure and been diagnosed as bipolar. And then — after a period as the world's youngest Stephen Hawking fan — he got better. (15 minutes) Health Care/Medicine • Mothers 
Song:
""Keep on the Sunny Side"", The Whites
 
",207.02
207,0.03,Act Three. Walkout.,Veronica Chater,"
Veronica Chater tells the story of her developmentally disabled brother Vincent, who one day quit his job and then quit everything else, mystifying everyone in his life. Veronica is author of the memoir Waiting for the Apocalypse. (16 minutes) Mental Health • siblings Veronica Chater
 
Song:
""9 to 5"", The Hammond State School Performers Group
 
",207.03
208,0.0,Prologue.,Ira Glass,"
We hear three stories of how conflicts are resolved in offices. Two of those stories come from sociologist Calvin Morrill, who studied the executive suites at a number of large companies in his book The Executive Way: Conflict Management in Corporations. The last story comes from host Ira Glass, who talks about how he ended up punching his own boss in the stomach in front of all his co-workers. (12 minutes) Business • Jobs/Employment Ira Glass
 ",208.0
208,0.01,"Act One. Hang In There Kitty Cat, It's Almost Friday.",Starlee Kine,"
This American Life producer Starlee Kine with a story of a company in turmoil. A young employee gets in a jam and discovers that in times of trouble, when all else has failed, companies in her industry turn to one woman in a suburban home in Long Island, who solves their corporate problems while the TV plays in the background. (12 minutes) Business Starlee Kine
 
Song:
""Love is All Around (Mary Tyler Moore theme)"", Joan Jett & the Blackhearts 
 
",208.01
208,0.02,"Act Two. Sheetcakes In The Conference Room, Whiskey After Dark.",David Rakoff,"
David Rakoff discusses the world of birthdays and other holidays, as they're celebrated on the job... and what happens when you call yourself an editorial assistant but the editor you're assisting calls you a secretary. He read this story before a live audience at Town Hall in New York City, during a This American Life live show. (15 minutes) Holidays • Jobs/Employment • Live Performance David Rakoff
 ",208.02
208,0.03,Act Three. When The Job That Takes You Off The Streets Is On The Streets.,Julie Snyder,"
This American Life senior producer Julie Snyder explains the office politics of street vendors on the corner of Sixth Avenue and Eighth Street in New York City. With her is sociologist Mitch Duneier, who spent years working with the vendors and writing about them for his book Sidewalk. (14 minutes) Business • Food/Drinks/Cooking Julie Snyder
 ",208.03
208,0.21,Credits.,,Credits,208.21
209,0.0,Prologue.,Ira Glass,"
Host Ira Glass plays tape from the documentary TV series American High of a teenager fighting with his parents about which car he can take out that night. Every family has its own way of fighting and its own particular family dynamic, and if things go terribly bad, it's often hard to figure how the bad things could've been prevented. (1 minute)Family • Teenagers Ira Glass
 ",209.0
209,0.01,Act One.,Debra Gwartney,"
The chronicle of a family that unravelled. Debra Gwartney loved her two oldest daughters like she loved herself. And they loved her in return. But Debra got a divorce, moved the family to Oregon, and relations with her daughters got worse and worse. Finally, at the ages of thirteen and fourteen, they ran away. In this story, Debra and her daughters try and retrace what exactly went wrong. The story was produced by Sandy Tolan of Homelands Productions, in collaboration with Debra Gwartney and her daughters. It's part of the World Views series of first person narratives, which gets funding from the Corporation for Public Broadcasting. Debra wrote a book about what happened in their family called Live Through This: A Mother's Memoir of Runaway Daughters and Reclaimed Love. (35 minutes) Divorce • Family • Mothers Debra Gwartney
 ",209.01
209,0.02,Act Two.,Brent Runyon,"
Brent Runyon tells the story of the day in eighth grade that he set himself on fire...and what led to that. He wasn't a loner, he had friends, his mother was a teacher, his parents took an interest in his life. This is an excerpt from his memoir, called The Burn Journals. (18 minutes) Education • Family • Mental Health Brent Runyon
 ",209.02
209,0.21,Credits.,,Credits,209.21
210,0.0,Prologue.,Ira Glass,"
Host Ira Glass surveys the effects DNA has had on the criminal justice landscape. He talks with Huy Dao, at the Innocence Project, where they are waist-deep in 2,000 letters from prisoners claiming DNA can prove them innocent. Charlotte Word at Cellmark Diagnostics, the largest and oldest private DNA forensics lab in the country, explains how their caseload is expanding into all sorts of new areas like insurance claims and medical malpractice suits. John Stanton, a detective in Arlington, Texas, recently opened up over 49 old unsolved cases, to see if DNA might be successful where old methods weren't. One case he reopened: The very first case he went on himself as a young crime scene officer in 1985. And finally, Chicago Tribune investigative reporter Maurice Possley explains that DNA has shed so much doubt on the criminal justice system in Illinois that now prosecutors and judges are reopening questionable cases that don't even have DNA evidence. (6 minutes) Criminal Justice • Technology Ira Glass
 ",210.0
210,0.01,Act One. Hawks And Rabbits.,Shane DuBow,"
This is the story of some teenagers who were wrongfully convicted of murder and served 15 years in prison. DNA set them free, then convicted the two men who really did the crime. Shane DuBow reports on how the police framed them with the crime in the first place, and what it's like to be in prison when you know you're innocent. (37 minutes) Criminal Justice • Police • Teenagers Shane DuBow
 ",210.01
210,0.02,Act Two. Snitch.,Ira Glass,"
The story of how common and perfectly legal police interrogation procedures, procedures without violence or torture, were able to get an average fourteen-year-old suburban kid to confess to murdering his own sister...even though DNA evidence later proved that he hadn't done the crime. (12 minutes) Criminal Justice • Police • Teenagers Ira Glass
 ",210.02
210,0.21,Credits.,,Credits,210.21
211,0.0,Prologue.,Ira Glass,"
Host Ira Glass explains that when you name names, when you whistleblow, when you tell on someone, you often do it anonymously. We hear from one anonymous squealer, who was done wrong by her doctor—he messed up a procedure and then refused to fix it. She decided to get even with him by turning him in to the IRS. (6 minutes) Health Care/Medicine Ira Glass
 ",211.0
211,0.01,Act One. How Britain Nearly Saved America.,Jon Ronson,"
Reporter Jon Ronson tells the story of how, in the immediate wake of September 11, he became convinced that a man he'd done a story on was responsible for the Anthrax attacks in America. So he did something he'd never done before, he ratted out his source to the FBI. He then felt the guilt of accusing someone who turns out not to be guilty. Jon Ronson is the author of the book, Them: Adventures with Extremists. (18 minutes)9/11 • Journalism • Terrorism Jon Ronson
 
Song:
""Dust in the Wind"", Kansas 
 
",211.01
211,0.02,Act Two. One Crucible Leads To Another.,Ira Glass,"
We hear excerpts from two autobiographies which each describe the same moment, but in very different ways. Elia Kazan and Arthur Miller agree that they met with each other in 1952, around the time Kazan named the names of his old friends to the House Committee on Un-American Activities. But they don't agree on what the conversation was like. Kazan describes it in his memoir, A Life, as cordial, supportive. Miller describes it in his Timebends as quietly calamitous. And after this moment, each man went on to defend his position in later work—Miller with The Crucible, about the dangers of bandwagon accusation; and Kazan with On The Waterfront, containing perhaps the single greatest testimony to squealing in the history of film. (11 minutes) Government • Literature Ira Glass
 ",211.02
211,0.03,Act Three. Beating The Erasers.,Susan Drury,"
Susan Drury tells the story of what happens when one of the most respected men in town gets accused of sexual harassment by one of the most trusted women in town. For a lot of the townspeople it was a difficult decision, but they chose to believe him over her. And some of them didn't change their minds, even when the man was later revealed to be a murderer. (21 minutes) Crime • Murder Susan Drury
 ",211.03
211,0.21,Credits.,,Credits,211.21
212,0.0,Prologue.,"Ira Glass, Sarah Koenig","
Host Ira Glass talks with Sarah Koenig, about the first and only time a movie star came over to her family's house when she was a kid, and how it didn't go too well, for the celebrity or for her. The movie star, Robert Redford, ended up stealing all her parents' attention, attention they usually lavished on Sarah, the youngest. On top of that, they were acting all nervous, and anxious, different than usual. It made young Sarah mad, and she ended up taking it out on poor Mr. Redford. (6 minutes) Childhood • Film/Film Making Ira Glass
Sarah Koenig
 ",212.0
212,0.01,"Act One. Psychic Buddha, Qu'est-ce Que C'est.",Davy Rothbart,"
The story of what happens to an average American family, when a perfectly normal, rational and funny mom starts spending every day in the company of an ancient Buddhist monk named Aaron, who no one else can see. Davy Rothbart is one of her three sons, and also the reporter for this story. He goes back and to talk to his brothers and father and mother about something they've never actually discussed: Do any of them believe in Aaron? Davy is the man behind Found Magazine. (26 minutes)Mental Health • Mothers • Religion Davy Rothbart
 
Song:
""Aaron is the Man"", Hal Rothbart 
 
",212.01
212,0.02,Act Two. The Jackson Two.,Ira Glass,"
Congressman Jesse Jackson, Jr. already had one other man in his life who shared his name—his world famous father, the Jesse Jackson. But then right before his most recent primary race, an aide told him that he now had another Jesse Jackson to contend with. This other Jesse Jackson, a retired truck driver with no political experience, had mysteriously appeared on the same voting ballot as congressman Jackson. Ira reports on whether this was all a strange coincidence or a bit of political mischief orchestrated by the Congressman's political rivals. (9 minutes)Politics Ira Glass
 
Song:
""Nude as the News"", Cat Power 
 
",212.02
212,0.03,Act Three. Mr. Fun.,"Heather O'Neill, Jonathan Goldstein","
Jonathan Goldstein and Heather O'Neill tell the true story of what happens when a person tries to intrude on a idyllic family of two, one of whom loves him, one of whom does not. For the first few years Jonathan knew Heather, her daughter Arizona was not very fond of him. For a long time he was nineteenth on Arizona's list of favorite people—behind the neighbor's dog and the plumber. Jonathan Goldstein is the author of the book, Lenny Bruce is Dead. Heather O'Neill's is the author of Two Eyes Are You Sleeping, a book of poetry. (15 minutes) Children • Love • Relationships Heather O'Neill
Jonathan Goldstein
 ",212.03
213,0.0,Prologue.,Ira Glass,"
How does the Devil work? We hear stories from five different people who say they found themselves inexplicably doing something random and bad, something which made no sense to them at all. Host Ira Glass explains why this might be, cadging a bit from C.S. Lewis's The Screwtape Letters. (11 minutes) Childhood • Religion Ira Glass
 ",213.0
213,0.01,Act One. It's Fun To Make Hell On Earth.,George Ratliff,"
Trinity Church in Texas puts on something called Hell House every Halloween. It's like a haunted house, but each scene shows teenage church members acting out scenes of things the church considers sins. There's a homosexual dying of AIDS; a girl in an abortion clinic (on a doctor's table with fake blood splashed between her legs); a mom who leaves her family for someone she meets on the Internet. George Ratliff made a documentary about all this called Hell House. He plays some of his footage and talks about how effective it is, and how much of a thrill it is for the pious teenagers to act like sinners. (14 minutes) Holidays • Religion • Teenagers George Ratliff
 
Song:
""The Devil Went Down to Georgia"", Charlie Daniels Band 
 
",213.01
213,0.02,Act Two. Sixteen Candles Can Lead To A Lot Of Fire.,Ira Glass,"
Faron Yoder lives in Amish country in Indiana. When he was a teenager, like every Amish sixteen-year-old, Faron was allowed to abandon the restrictions of Amish life and live as a regular American teenager. It's part of an Amish tradition called rumspringa, which lets Amish kids drive cars and drink and party for a few years, before they decide whether or not to be baptised into the Amish church and live an Amish life. Now 21, Faron explains to Ira why most Amish kids decide to stay Amish after rumspringa, and why, at 21, he hasn't. He's featured in a documentary called Devil's Playground, by filmmaker Lucy Walker. (9 minutes) Religion • Teenagers Ira Glass
 ",213.02
213,0.03,"Act Three. Devil In Angel's Clothing, Or Is It The Other Way Around?",Sarah Koenig,"
The story of a man who committed a murder when he was a teenager. He got away with it, and didn't tell the police for twenty years. But then one day, for reasons that aren't entirely clear to him, he did. Reporter Sarah Koenig talked with him in prison, about what it's like to come clean after twenty years, but not even remember how or why. (21 minutes) Crime • Criminal Justice • Murder • Teenagers Sarah Koenig
 ",213.03
213,0.21,Credits.,,Credits,213.21
214,0.0,Prologue.,"Ira Glass, David Kestenbaum","
We hear two stories of everyday life which are more easily understood if one knows some of the laws of physics, specifically the Mediocrity Principle and the Casimir Effect. Then Particle Physicist and Planet Money correspondent David Kestenbaum explains why physicists hate it when non-scientists try to apply these laws and principles to their daily lives. (7 minutes) Science Ira Glass
David Kestenbaum
 ",214.0
214,0.01,Act One. Occam's Razor.,Cris Beam,"
In Los Angeles, Cris Beam reports on a family named the Paladinos that had a theory that explained their lives. And then, at some point, that theory came to seem inadequate. It didn't seem to match the data and evidence at hand. So they switched to a different theory. Cris Beam is the author of several books including To The End of June. (30 minutes) Family • Race Cris Beam
 ",214.01
214,0.02,Act Two. The Trajectory And Force Of Bodies In Orbit.,Jon Ronson,"
Jon Ronson tells the story of how his parents decided to commission a family portrait, and how things went awry because of the brilliant but troubled local artist they hired for the job. In the story, Jon circles in a reluctant orbit around his parents, and his parents are in a rather energetic orbit of their own. Jon's books include The Psychopath Test and So You've Been Publicly Shamed. (13 minutes)Art • Family Jon Ronson
 
Song:
""Stars in My Life"", The Flatlanders 
 
",214.02
214,0.03,Act Three. Conservation Of Energy And Matter.,David Sedaris,"
David Sedaris outlines an experiment he conducted with fluids and a tube and a bag. The result: The Stadium Pal. His story was recorded before a live audience by Seattle Arts and Lectures. He's the author of When You Are Engulfed In Flames and other books. (5 minutes)Funny • Literature • Live Performance David Sedaris
 ",214.03
214,0.21,Credits.,,Credits,214.21
215,0.0,Prologue.,"Ira Glass, Tom and Ray Maggliozi","
Host Ira Glass talks with NPR's Car Talk hosts Tom and Ray Maggliozi and a former employee of theirs, Joe Richman. Ray once fixed Joe's beloved '72 Plymouth Valiant, a repair job which hastened it to its grave...but probably got Joe a girlfriend. Tom and Ray discuss how common it is for car experts to screw up a repair. (6 minutes)Automobiles Ira Glass
Tom and Ray Maggliozi
 ",215.0
215,0.01,Act One. An Epidemic Created By Doctors.,Alix Spiegel,"
Alix Spiegel reports on the ""Recovered Memory"" movement. In the early 1990s people across America turned to experts in psychology for help...and many people were told that the source of their problems could be traced to traumatic events they could not even remember, to memories that had to be recovered through special techniques. In the last ten years, this whole approach to psychology has fallen out of favor. So what happened that so many experts came to believe in a treatment that turned out to make many of their patients worse, not better...and what happened when the patients and therapists figured all this out? (37 minutes) Health Care/Medicine Alix Spiegel
 ",215.01
215,0.02,"Act Two. Not Stella Adler, Just Stellllaaah.",Jod Kaftan,"
Sure, those who can't do, teach. But what about those who can do? Marlon Brando has created a set of instructional videos about acting, called Lying for a Living. Reporter Jod Kaftan got a sneak preview. He says Brando clearly wants to do right by his students, but the qualities that make him a great actor make him a dreadful teacher. (13 minutes)Education • Theater Jod Kaftan
 ",215.02
215,0.21,Credits.,,Credits,215.21
216,0.0,Prologue.,Ira Glass,"
Host Ira Glass goes to a fake wedding at a home for Alzheimer's patients in Davenport, Iowa. Two high school kids who've never even kissed are the bride and groom. Most of the residents couldn't tell you either of their names. But the staff of the Country House residence stages the event because it makes the residents happy...even if they won't remember it by dinnertime. (3 minutes) Health Care/Medicine • Memory • Weddings Ira Glass
 ",216.0
216,0.01,"Act One. Let Them Eat Cake, Wedding Cake.",Ira Glass,"
The story from the prologue continues, with the groom who refused to be a groom, and the one person who'll probably remember the fake wedding, namely, the fake bride. (6 minutes)Health Care/Medicine • Memory • Weddings Ira Glass
 
Song:
""Time Enough for Rocking When We're Old"", The Magnetic Fields 
 
",216.01
216,0.02,Act Two. God Shed His Grace On Thee.,Jack Hitt,"
A fable of how America got its name, and how it was named after someone who was a fraud, but the kind of fraud people love, the kind of fraud who knows how to please a crowd. Jack Hitt tells the racy and little-known story of how Amerigo Vespucci got his name all over the map of the western hemisphere by telling lies about what he found there—the type of lies which can be found today in the pages of Penthouse magazine. (13 minutes)History Jack Hitt
 
Song:
""In America"", Fastbacks 
 
",216.02
216,0.03,"Act Three. Have Paint, Will Travel.",Amy Dorn,"
Milton Reid works as a freelance muralist in one of the largest housing projects in America, Chicago's Robert Taylor Homes. For fifty to two hundred dollars, he'll paint a mural on a resident's living room wall, or in their kitchen, or in the bathroom. He explains that when he first started, all his clients wanted were black and gold panthers, but their tastes have gotten more varied. (8 minutes)Art • Housing Amy Dorn
 ",216.03
216,0.04,Act Four. Handing People Their Dreams.,Ali Davis,"
Ali Davis literally hands people their fantasies, in her job at a Chicago video store with a huge porn section. She tells true stories about what the job is like. (10 minutes) Film/Film Making • Retail/Commerce • Sexuality Ali Davis
 ",216.04
216,0.05,Act Five. What Daddy Wants.,Curtis Sittenfeld,"
In any family, giving other people what they want becomes fantastically complicated, often because people tend to give others the things they'd like themselves. Curtis Sittenfeld explains how the drama plays out in her family, when it comes to her father's weight. Recently her dad signed up with a woman known as ""The Diet Nazi."" (16 minutes)Family • Food/Drinks/Cooking • Health Care/Medicine Curtis Sittenfeld
 ",216.05
217,0.0,Prologue.,Ira Glass,"
Ira visits the border where Israel meets the West Bank and finds it's more like Scottsdale, Arizona, than he ever expected. We also hear from Tel Aviv advertising writer Erez Hadary, who created a bumper sticker that expresses Israeli confusion right now; from Rula Hamadani, a Palestinian who's feeling just as confused; and from journalist and historian Tom Segev (author of 1949: The First Israelis, Elvis in Jerusalem, and other books) about some very odd Israeli poll numbers. (5 minutes) Politics Ira Glass
 ",217.0
217,0.01,Act One. Life Indoors.,Nancy Updike,"
Nancy Updike reports that life under curfew in Ramallah can be, among other things, intensely boring. She also tells the story of Sam Bahour, a Palestinian who was born and raised in Ohio, who came back to the West Bank in 1995, when peace seemed possible, to help build the Palestinian state. Now he can't leave his house. (13 minutes) Housing • Politics Nancy Updike
 ",217.01
217,0.02,Act Two. Here And There In The Land Of Israel.,"Ira Glass, Adam Davidson","
Ira Glass travels through Israel with Adam Davidson, who speaks Hebrew and has countless Israeli cousins and other family members. They find that the entire country has moved to the right in reaction to Palestinian violence—so far right that at a cafe of leftists, they're no longer arguing about peace, but about whether the Palestinians are simply born animals or if they're taught to be animals. (26 minutes)Politics Ira Glass
Adam Davidson
 ",217.02
217,0.03,Act Three. What's A Moderate?,Nancy Updike,"
What if a new Palestinian leader came on the scene who was neither part of the corrupt autocracy of the Palestinian Authority, nor part of fundamentalist, suicide-bombing Hamas? Nancy Updike follows around possible future Palestinian political candidate Mustafa Barghouti, a doctor who's well known for setting up clinics. (13 minutes)All of Nancy Updike's radio work is supported with a grant from Hearing Voices, with funds from the Corporation for Public Broadcasting. Health Care/Medicine • Politics Nancy Updike
 ",217.03
217,0.21,Credits.,,Credits,217.21
218,0.0,Prologue.,Ira Glass,"
Host Ira Glass surveys various productions of Hamlet being staged around the country: At community colleges in Brooklyn and Honolulu, on a professional stage in Boston, and at a Shakespeare camp for kids in San Francisco—where all the scenes are death scenes. (3 minutes) Death • Theater Ira Glass
 ",218.0
218,0.01,"Act One. Act V, Scene 1.",Jack Hitt,"
Jack Hitt begins his story about a group of prisoners at the Missouri Eastern Correctional Center who are rehearsing and staging a production of Hamlet. The man who plays Hamlet gets in character by recalling times he's wanted to hurt people, like the crime that sent him to prison, in which he shot two people and left them for dead. Big Hutch, who plays Horatio, explains how it would work if you set Hamlet in a prison, and why it would actually improve a flaw in the plot. You can see video clips of the Prison Performing Arts performances online. (30 minutes) Criminal Justice • Theater Jack Hitt
 ",218.01
218,0.02,"Act Two. Act V, Scene 2.",Jack Hitt,"
Jack Hitt's story about a prison production of Hamlet continues. He discovers that almost all the actors draw on their pasts in one way or another to get into character. And some of them have committed crimes even worse than Jack had imagined. (22 minutes) Crime • Criminal Justice • Theater Jack Hitt
 ",218.02
218,0.21,Credits.,,error,218.21
219,0.0,Prologue.,Ira Glass,"
Host Ira Glass talks to Cory Simmons and Dominique Mapp, who were driving home one night and were followed by a group of rowdy men in an SUV. The men tailed them for miles and then started firing a gun at them. When Cory and Dominique finally made it to a police station, it turned out that the men in the car were all drunk, white, off-duty policemen. Cory and Dominique are black. When the case came to trial, the cops weren't convicted of anything—not assault, not attempted murder, not even disorderly conduct. (9 minutes) Automobiles • Crime • Race Ira Glass
 ",219.0
219,0.01,"Act One. Cowboys And Indians, Part 1.",Susan Burton,"
Reporter Susan Burton tells the story of a high-speed chase in South Dakota. An incident at a high school basketball game escalated to the point where a group of Native American girls from one town found themselves being chased down the highway by a group of white boys from another town. The boys were brandishing a shotgun and firing it into the air. What happened in the months that followed after police got involved and charges were filed didn't seem fair to either side. Susan begins the story by talking about the incident with the girls. For Native Americans, the event fit into what they see as a decades-long—or maybe centuries-long—pattern of injustice. And the event traumatized the girls so much that in the months after, one of them underwent an almost complete personality transformation, and another became suicidal. (22 minutes) Automobiles • Criminal Justice • Race • Teenagers Susan Burton
 ",219.01
219,0.02,"Act Two. Cowboys And Indians, Part 2.",Susan Burton,"
Susan Burton's story continues. She investigates the effect the high-speed chase had in the town where it happened—Miller, South Dakota, one of the top ten most racially homogeneous places in the country. For most people in the town, the event was embarrassing and horrifying, but they were quick to excuse the boys, and they didn't understand why Native Americans might see it as anything other than an isolated incident. (22 minutes) Automobiles • Crime • Race • Teenagers Susan Burton
 ",219.02
219,0.21,Credits.,,Credits,219.21
220,0.0,Prologue.,"Alex Blumberg, Ira Glass","
Producer Alex Blumberg explains that he wanted to do this show because of his conflicted relationship with his own testosterone. He tells host Ira Glass that the reasons go back to a girl in his eighth-grade homeroom and the 1970s seminal feminist novel The Women's Room. We also hear from a man who stopped producing testosterone due to a medical treatment and found that his entire personality was altered. (9 minutes) Health Care/Medicine • Science Alex Blumberg
Ira Glass
 ",220.0
220,0.01,Act One. Life At Zero.,Ira Glass,"
The interview with a man who lost his testosterone continues. He explains that life without testosterone is life without desire—desire for everything: food, conversation, even TV. And he says life without desire is unexpectedly pleasant. The man first wrote about his experiences, anonymously, in GQ Magazine. (8 minutes) Health Care/Medicine • Science Ira Glass
 ",220.01
220,0.02,Act Two. Infinite Gent.,Ira Glass,"
An interview with a transgender man, who started life as female and began taking testosterone injections several years ago. He explains how testosterone changed his views on nature vs. nurture for good. (17 minutes) Health Care/Medicine • Sexuality Ira Glass
 
Song:
""To Sir With Love"", Lulu 
 
",220.02
220,0.03,Act Three. Contest-osterone.,"Ira Glass, David Rakoff","
The men and women on staff at This American Life decide to get their testosterone levels tested, to see who has the most and least, and to see if personality traits actually do match up with hormone levels. It turns out to be an exercise that in retrospect, we might not recommend to other close-knit groups of friends or co-workers. (12 minutes)Health Care/Medicine Ira Glass
David Rakoff
 
Song:
""What Kind of Man Are You"", Ray Charles 
 
",220.03
220,0.04,Act Four. Learning To Shut Up.,Miriam Toews,"
Novelist Miriam Toews, author of The X Letters (which appeared in an earlier episode of the show), tells the story of a road trip she took with her 15-year-old son. Her most recent book is called All My Puny Sorrows. (11 minutes) Mothers • siblings • Teenagers • Travel Miriam Toews
 ",220.04
220,0.21,Credits.,,Credits,220.21
221,0.0,Prologue.,Ira Glass,"
Host Ira Glass talks with Erin Einhorn, a reporter for the Philadelphia Daily News, who went to Poland to find the Catholic family that had sheltered and saved her mother from the Nazi concentration camps during World War II. She found that in Krakow where she was living, in a country where Jewish populations had been vilified and then exterminated by the Nazis, Judaism was suddenly trendy. (5 minutes) Family • Religion Ira Glass
 ",221.0
221,0.01,Act One. Pole Vault.,Ira Glass,"
Ira's conversation with Erin Einhorn continues. She talks about the possible reasons that, 50 years after Auschwitz, 10,000 Polish hipsters will now show up to see a Klezmer music concert. (17 minutes) Family • Religion Ira Glass
 ",221.01
221,0.02,Act Two. This Blessed House.,"Jhumpa Lahiri, Mira Nair","
A short story by Jhumpa Lahiri, from her book of short stories The Interpreter of Maladies. The story is read by Mira Nair, director of the movies Mississippi Masala, Monsoon Wedding, and others. (28 minutes) Fiction • Housing • Religion Jhumpa Lahiri
Mira Nair
 
Song:
""Hallelujah"", John Cale 
 
",221.02
221,0.03,Act Three. The Lie That Binds.,David Sedaris,"
A story from David Sedaris about how the movie The End of the Affair almost ended his relationship. He argues that being in love sometimes means not saying what's going through your head. (5 minutes) Film/Film Making • Literature • Love David Sedaris
 ",221.03
221,0.21,Credits.,,Credits,221.21
222,0.0,Prologue.,Ira Glass,"
Host Ira Glass talks with Adam and Wendy, a couple whose world view was changed when they bought a house. Adam and Wendy were the kind of people who believed that most people by and large were good, and their motives by and large honest. But when they found that the former owner had lied about all sorts of things in their new house, they were reluctantly forced to change their view of things. The former owners were the types who believed in suckering the other guy before he suckers you, and now Adam and Wendy were starting to think that way too. (7 minutes) Housing • Personal Finance Ira Glass
 ",222.0
222,0.01,"Act One. No Receipt, No Surrender.",Ira Glass,"
Jen's mom Sheila does things like this: She buys a brand name at a discount store, and then returns it to a fancy store for a full refund. She thinks you're a sucker if you don't take advantage of opportunities like that. Jen admires her mom's chutzpah, but can't do the things she does, so her mom tries to teach her...on tape. Jen pins a hidden microphone on herself, and she and her mother try and return a gift Burberry sweater to the actual Burberry store. (15 minutes) Mothers • Personal Finance • Retail/Commerce Ira Glass
 ",222.01
222,0.02,Act Two. The Stereo Type.,Shane DuBow,"
Rarely when we're suckered do we get a chance at revenge, and that turns out to be a good thing. Writer Shane DuBow tells the story of a scam he fell for when he was just out of college. Twelve years later, the same guys tried the same scam on him. But getting even wasn't as easy as he thought. (11 minutes) Crime • Retail/Commerce Shane DuBow
 ",222.02
222,0.03,Act Three. Suckers In The Promised Land.,Adam Davidson,"
There's a whole nation where the idea of suckerdom permeates almost every aspect of culture and politics. Adam Davidson reports on the Israeli word ""freier,"" which literally translates as sucker, but means much, much more. (7 minutes) Race Adam Davidson
 ",222.03
222,0.04,Act Four. Mother Sucker.,Heather O'Neill,"
Writer Heather O'Neill tells the story of how she became a foster mother at 18—to a 16 year-old. (14 minutes) Mothers • Teenagers Heather O'Neill
 ",222.04
222,0.21,Credits.,,Credits,222.21
