episode	month	day	year	title	description	imageurl	url
32	08	16	1996	Republican Convention	"
Unusual stories about day-to-day life at the Republican Convention. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h32_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/32
33	08	23	1996	A Night at the Wiener Circle	"
Host Ira Glass spent a Saturday night — from 9:00 p.m. until dawn the next morning — at one of the most frenetic, joyous, efficient, angry, boisterous hot dog stands in the nation: Chicago's own Wiener Circle. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h33_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/33
34	08	30	1996	Democratic Convention	"
Unusual stories from the 1996 Democratic Convention in Chicago, with scenes and moments not documented elsewhere. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h34_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/34
35	09	06	1996	Fall Clearance Sale	"
Evocative, funny, emotional stories collected over the last few months that haven't fit into any of our regular ""theme"" shows. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h35_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/35
36	09	20	1996	Letters	"
Host Ira Glass and playwright David Hauptschein took out advertisements in Chicago inviting people to come to a small theater with letters they've received, sent or found. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/s36_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/36
37	09	27	1996	The Job That Takes Over Your Life	"
Radio producer Scott Carrier quit his job at a low moment in his life. His wife left him and took the kids. And he got a job interviewing schizophrenics for some medical researchers. After doing it a while, he began to wonder if he was a schizophrenic himself. And more stories. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/37.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/37
38	10	11	1996	Simulated Worlds	"
Simulated worlds, Civil war reenactments, wax museums, simulated coal mines, fake ethnic restaurants, an ersatz Medieval castle and other re-created worlds that thrive all across America. (4 minutes) "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h38_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/38
39	10	25	1996	Halloween	"
This week: A show for Halloween. Stories of things that are supposed to be scary, but aren't. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h39_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/39
40	11	01	1996	Lessons	"
Stories from acclaimed storyteller Spalding Gray and others. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h40_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/40
41	11	08	1996	Politics	"
More stories of the election you can't hear anywhere else. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h41_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/41
42	11	15	1996	Get Over It!	"
Three stories of people trying to forget the past and move on. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/42.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/42
43	11	22	1996	Faustian Bargains	"
Inspired by a spate of new Chicago stage adaptations of the Faust story, This American Life brings you stories of people who made a deal with the devil. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v43_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/43
44	11	29	1996	Poultry Slam 1996	"
In the midst of the five biggest poultry-consumption weeks of the year—the five weeks between Thanksgiving and Christmas, when Americans consume one-fourth of all the turkey they eat in a year—This American Life presents stories about turkeys, chickens, ducks, and fowl of all kinds. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h44_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/44
45	12	06	1996	Media Fringe	"
Four stories about people struggling at the fringes of our nation's media/music/infotainment industry. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/45.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/45
46	12	13	1996	Sissies	"
Though being gay no longer has much of a stigma in some parts of the country, being a sissy still does — even among gay men. In this show we have a number of surprising and unusual stories of sissies, their families, and why people still get so upset about them. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v46_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/46
47	12	20	1996	Christmas and Commerce	"
Stories about the intersection of Christmas and retail, including David Sedaris's story ""Santaland Diaries,"" which was first broadcast on NPR's Morning Edition many years ago in a much shorter version. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/47.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/47
48	01	03	1997	Justice	"
Kitty Felde shows a side of the Yugoslav War Crimes Trials that hasn't been discussed anywhere: a portrait of Americans at the International Tribunal. And other stories. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h48_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/48
49	01	10	1997	Animals	"
Stories about the animalness of animals, the irreducible ways in which they are not human. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h49_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/49
50	01	17	1997	Shoulda Been Dead	"
Kevin Kelly was in Jerusalem. For reasons too complicated to go into here, he ended up sleeping on the spot where Jesus was supposedly crucified. After Kevin awoke, the thought came into his head: Live as if you'll die in six months. So he did. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h50_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/50
51	01	24	1997	Animals Die, People Ponder	"
Stories of people who handle dead animals. Don't worry — it's not as gross as it sounds. In fact, not disgusting at all. A story by George Saunders about an animal control man who falls in unrequited love. A woman who studies illuminated manuscripts, whose pages look like paper but are in fact animals. And other stories. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h51_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/51
52	01	31	1997	Edge of Sanity	"
Stories about the border between mental health and mental illness. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h52_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/52
53	02	07	1997	Valentine's Day '97	"
For Valentine's Day, stories about our parents falling in love. And troubles with their love. From Hilton Als, Scott Carrier, Julie Showalter, a magazine column called Men My Mother Dated and others. The idea for this show was inspired by Delmore Schwartz's classic 1937 work of American fiction about his parents' courtship: In Dreams Begin Responsibilities and Other Stories. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/s53_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/53
54	02	21	1997	Sinatra	"
Stories, tributes, and attempts to understand the Chairman of the Board. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h54_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/54
55	02	28	1997	Three Women and the Sex Industry	"
A few months ago, radio producer Sandy Tolan was supposed to do a documentary about strippers with an aspiring writer — and stripper — named Susan. A few days before they were to begin working together, Susan disappeared, presumed dead. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v55_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/55
56	03	07	1997	Name Change	"
Stories of people changing their name — some to create a new identity, some to con people. Name changes are particularly American stories: they're the dream of starting over with a clean slate. They're Ellis Island and 12-step programs, the move westward and self help, Marilyn Monroe and Malcolm X and the Artist Formerly Known as Prince, all rolled up in one. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/56.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/56
57	03	14	1997	Delivery	"
Stories about the delivery business and the people in it. UPS men, bike messengers, FedEx dispatchers.
NOTE: This episode originally included a story by reporter Stephen Glass, which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v57_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/57
58	04	04	1997	Small Towns	"
Stories of small town life: the claustrophobia and freedom people feel in small towns, the yearning people feel in small towns. And three teenagers in one of the harshest urban environments explain how the public housing projects are like a small town. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h58_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/58
59	04	11	1997	Fire	"
Stories about people who are not afraid of fire, though perhaps they should be. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v59_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/59
60	04	18	1997	Business of Death	"
Usually we talk about death as a tragedy, a mystery, a hard-to-comprehend fact of life. But in addition to all that, for all sorts of people it's also ... a job. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v60_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/60
61	04	25	1997	Fiasco!	"
Stories of when things go wrong. Really wrong. When you leave the normal realm of human error, fumble, mishap, and mistake and enter the territory of really huge breakdowns. Fiascos. Things go so awry that normal social order collapses. This week's show is a philosophical inquiry in the nature of fiascos — perhaps the first ever. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/61.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/61
62	05	02	1997	Something for Nothing	"
Stories of people trying to get rich quick or otherwise make something for nothing. As everyone knows, there's no such thing as something for nothing. You always pay a price. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/62.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/62
63	05	09	1997	One Thing	"
People whose lives are organized around one thing. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h63_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/63
64	05	23	1997	Summer	"
Stories for the start of summer. We want summer to be this wonderful break, but so often it fails to deliver. We hear Ron Carlson's short story about a summer job delivering tanks of oxygen to the infirm, Scott Carrier takes a river vacation, and more. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h64_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/64
65	05	30	1997	Who's Canadian?	"
Notes and stories about the Canadians among us. Are they in fact any different from red-blooded Americans? They claim they're not. Skeptical Americans put their position to the test. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/65.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/65
66	06	06	1997	Tales from the Net	"
Are people having experiences on the Internet they wouldn't have anywhere else? Several weeks ago, This American Life invited listeners to help answer that question. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h66_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/66
67	06	27	1997	Your Dream, My Nightmare	"
Could it be more obvious? Stories in which someone's dream is someone else's nightmare. All of us get into these situations with strangers, with the people we love most, with our own parents, with our children. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h67_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/67
68	07	04	1997	Lincoln's Second Inaugural	"
A show for July 4th weekend. We begin with perhaps the most moving, poetic inaugural speech in American history, and look at its legacy today. In his second inaugural address, Lincoln wondered aloud why God saw fit to send the slaughter of the Civil War to the United States. His conclusion: that slavery was a kind of original sin for the United States, for both North and South, and all Americans had to do penance for it. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v68_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/68
69	07	18	1997	Dream House	"
How many of our parents move to some place — some dream house — with some vision of a new life in the new place, and move the family with them, hoping it works out for the kids. Three stories on this theme. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h69_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/69
70	07	25	1997	Other People's Mail	"
When you read other people's mail, you can't help but try to fill in between the lines. You try to decipher the stories of the people who wrote the letters. We hear four stories of people who read other people's mail, and what happens to them once they get caught up in these other lives. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h70_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/70
71	08	01	1997	Defying Sickness	"
Stories of people trying to do exactly what the doctors say they can't — or shouldn't. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v71_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/71
72	08	08	1997	Trek	"
An idiosyncratic first-person travelogue about race relations and tourism from radio producer Rich Robinson and television producer Josh Seftel. Their radio story is about a trip they took to the new South Africa. Rich Robinson is black. Josh Seftel is white. The interracial pair travel through the still mostly-segregated society and have very different opinions about what they see, especially when it comes to some distant relatives of Josh's in South Africa. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v72_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/72
73	08	22	1997	Blame It on Art	"
The darker side of the art world: petty jealousies, competitiveness, failure. And also what's so great about art. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v73_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/73
74	08	29	1997	Conventions	"
What happens when people with one common interest gather in monstrous, fluorescent -lit halls for the weekend? Sometimes they drive each other crazy, sometimes they fall in love. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v74_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/74
75	09	12	1997	Kindness of Strangers	"
Stories of the kindness of strangers and where it leads. Also, the unkindness of strangers and where that can lead. All of today's stories take place in the city most people think of as the least kind city in America: New York. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v75_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/75
76	09	19	1997	Mob	"
The mob as portrayed in movies, and as it is in real life. And its hold over us. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h76_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/76
77	09	26	1997	Pray	"
Can the secular world and the religious world understand each other? "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/077-th.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/77
78	10	03	1997	How Bad Is Bad?	"
How bad is bad enough to count? To go to hell? "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v78_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/78
79	10	10	1997	Stuck in the Wrong Decade	"
People stuck in the wrong decade — or simply carrying a lot of the props from another decade.
NOTE: This episode originally included a story by reporter Stephen Glass (no relation to Ira), which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v79_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/79
80	10	17	1997	Running After Antelope	"
Stories of people engaged in a battle with nature — a battle they don't stand much chance of winning. Most of the show is Scott Carrier's story of trying for twelve years to chase down and catch an antelope by foot. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h80_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/80
81	10	24	1997	Guns	"
Americans who love their guns...and the Americans who love them. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/81.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/81
82	10	31	1997	Haunted	"
Stories of people who are haunted, not by ghosts or phantoms, but by other people. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v82_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/82
83	11	14	1997	One of Us	"
Stories of outsiders who want to be insiders, and vice versa. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h83_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/83
84	11	21	1997	Harold	"
A parable of politics and race in America. The story of Chicago's first black mayor, Harold Washington, told two decades after his death. Washington died on November 25, 1987. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/84-sm.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/84
85	12	05	1997	Poultry Slam 1997	"
Humans have turned chicken and turkey into what we want them to be. Which means that chickens and turkeys are a mirror of ourselves. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h85_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/85
86	12	12	1997	How to Take Money from Strangers	"
Two stories of how to get money from strangers. In both stories, the money is made by people who make the strangers feel good about themselves and about their nation.
NOTE: This episode originally included a story by reporter Stephen Glass, which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. "	//hw4.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h86_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/86
87	12	19	1997	A Very Special Sedaris Christmas	"
Stories from David Sedaris's book of Christmas stories, Holidays on Ice, read onstage by David, Julia Sweeney and actor Matt Malloy. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/episodes/087.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/87
88	01	02	1998	Numbers	"
Numbers lie. Numbers cover over complicated feelings and ambiguous situations. In this week's show, stories of people trying to use numbers to describe things that should not be quantified. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h88_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/88
89	01	09	1998	Sibling Rivalry	"
Stories about people who are destined to fight: brothers and sisters. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/s89_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/89
90	01	16	1998	Telephone	"
Stories of who we are on the phone, of things we learn on the phone, and of things that happen on the phone that don't happen anywhere else. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h90_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/90
91	01	30	1998	Escape the Box	"
Stories of people trying to escape the box of their own lives, and create new lives. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/s91_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/91
92	02	06	1998	Leave the Mask On	"
Stories about those moments when someone tries to tell you a little bit more about themselves than you'd really rather know. "	//hw1.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h92_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/92
93	02	13	1998	Valentine's Day '98	"
Stories about couples that all take place decades after that moment their eyes first meet. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h93_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/93
94	02	27	1998	How To	"
What happens during a ""how-to,"" and what our how-to's say about us. Most how-to's promise that you'll not only learn skills, you'll be transformed. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/s94_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/94
95	03	06	1998	Monogamy	"
How should we react to people who are in non-monogamous relationships? What should we think of these struggles with monogamy? "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h95_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/95
96	03	13	1998	Pinned by History	"
People who left their private lives and were seized by some huge historical moment. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h96_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/96
97	03	20	1998	Death to Wacky	"
An assault on the idea of wackiness. And then, an appreciation of wackiness, and an analysis of wackiness in American culture. Thirteen ways to describe wackiness. "	//hw3.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/v97_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/97
98	03	27	1998	Throwing the First Punch	"
Stories about what it means to be a person who throws the first punch ... and how hard it is to give up. "	//hw2.thisamericanlife.org/sites/default/files/imagecache/large_square/photos/large/h98_lg.jpg	https://hw2.thisamericanlife.org/radio-archives/episode/98
