episode-act,name
532.02,Chana Joffe-Walt
538.03,Chana Joffe-Walt
550,Chana Joffe-Walt
550.01,Chana Joffe-Walt
550.02,Chana Joffe-Walt
557,Chana Joffe-Walt
557.01,Chana Joffe-Walt
563,Chana Joffe-Walt
563.01,Chana Joffe-Walt
563.02,Chana Joffe-Walt
573.03,Chana Joffe-Walt
583,Chana Joffe-Walt
583.03,Chana Joffe-Walt
583.04,Chana Joffe-Walt
620,Chana Joffe-Walt
62.01,Chapin Wilson
366.02,Charles Duhigg
257.02,Charles Monroe-Kane
353.03,Charlie Savage
256.03,Chelsea Merz
446.03,Chelsea Merz
45.04,Cheryl Trykv
50.04,Cheryl Trykv
102.04,Cheryl Trykv
129.03,Cheryl Trykv
184.02,Cheryl Wagner
296.04,Cheryl Wagner
307.02,Cheryl Wagner
316.04,Cheryl Wagner
380.01,Chris Arnold
122.02,Chris Brookes
201.03,Chris Brookes
576.01,Chris Gethard
584.02,Chris Gethard
612.03,Chris Gethard
409.03,Chris Higgins
359.02,Chris Neary
445.03,Chris Neary
302.01,Chris Tenove
68.04,Christina Egloff
148.04,Christine Coyle
56.02,Christopher Cerf
542.01,Christopher Rhoads
241.18,Chuck Klosterman
244.01,Chuck Klosterman
362.02,Chuck Klosterman
267.03,Claire Beckmann
373.02,Claire Hoffman
20.04,Claudia Perez
50.03,Claudia Perez
302.02,Colby Buzzell
567.01,Courtney Stein
190.01,Cris Beam
214.01,Cris Beam
448.02,Cristin Milioti
216.05,Curtis Sittenfeld
248.04,Curtis Sittenfeld
279.03,Curtis Sittenfeld
308.02,Czerina Patel
31.01,Dael Orlandersmith
37.03,Dan Collison
83.02,Dan Collison
133.04,Dan Collison
570,Dan Ephron
570.01,Dan Ephron
570.02,Dan Ephron
108.01,Dan Gediman
279.05,Dan Neil
32.02,Dan Savage
46.04,Dan Savage
92.02,Dan Savage
95.02,Dan Savage
106.03,Dan Savage
113.02,Dan Savage
129.02,Dan Savage
139.02,Dan Savage
183.04,Dan Savage
293.02,Dan Savage
316.01,Dan Savage
328.04,Dan Savage
341.03,Dan Savage
379.03,Dan Savage
594.01,Dana Chivvis
616.01,Dana Chivvis
123.03,Dani Shapiro
393.03,Dani Shapiro
420.02,Daniel Beirne
589.04,Daniel Engber
37.04,Daniel Orozco
43.05,Daniel Pinkwater
139.03,Daniel Portado
29.03,Danny Drennan
34.04,Danny Drennan
65.03,Danny Drennan
133.02,Danny Hoch
134.02,Danny Hoch
456.02,Danny Lobell
359.01,Darin Strauss
117.03,Dave Eggers
140.03,Dave Eggers
448.02,Dave Eggers
373,Dave Hill
373.01,Dave Hill
395.03,Dave Hill
401,Dave Hill
422.06,Dave Hill
475.02,Dave Hill
214,David Kestenbaum
229.02,David Kestenbaum
382.02,David Kestenbaum
392.03,David Kestenbaum
413.01,David Kestenbaum
418.01,David Kestenbaum
418.02,David Kestenbaum
418.03,David Kestenbaum
418.04,David Kestenbaum
418.05,David Kestenbaum
423.02,David Kestenbaum
431.03,David Kestenbaum
434.05,David Kestenbaum
503.01,David Kestenbaum
602.07,David Kestenbaum
608.06,David Kestenbaum
611.02,David Kestenbaum
612.02,David Kestenbaum
317.02,Dave Royko
69.02,David Beers
364.02,David Berkeley
588.03,David Berkeley
176.02,David Brock
91.03,David Cale
203.04,David Cossin
326.03,David Ellis Dickerson
332.05,David Ellis Dickerson
340.03,David Ellis Dickerson
358.02,David Ellis Dickerson
394.02,David Ellis Dickerson
432.01,David Ellis Dickerson
577.01,David Epstein
429.01,David Finkel
160.02,David Foster Wallace
391,David Frum
312.01,David Hauptschein
312.02,David Hauptschein
531,David Hill
531.01,David Hill
425.01,David Holthouse
17.03,David Isaacson
25.03,David Isaacson
610.02,David Kestenbaum
617,David Kestenbaum
617.01,David Kestenbaum
619,David Kestenbaum
619.01,David Kestenbaum
619.02,David Kestenbaum
620.01,David Kestenbaum
101.01,David Kodeski
399.03,David MacLean
12.02,David Rakoff
47.03,David Rakoff
49.02,David Rakoff
65.01,David Rakoff
116.04,David Rakoff
118.03,David Rakoff
124.01,David Rakoff
140.01,David Rakoff
146.01,David Rakoff
156.01,David Rakoff
169.01,David Rakoff
192.03,David Rakoff
194.02,David Rakoff
208.02,David Rakoff
220.03,David Rakoff
241.15,David Rakoff
248,David Rakoff
259.02,David Rakoff
305.01,David Rakoff
328.01,David Rakoff
343.04,David Rakoff
345.01,David Rakoff
354.02,David Rakoff
386.02,David Rakoff
389.03,David Rakoff
433.02,David Rakoff
464.03,David Rakoff
3.05,David Sedaris
4.03,David Sedaris
6,David Sedaris
11.04,David Sedaris
12.02,David Sedaris
23.01,David Sedaris
27.01,David Sedaris
28.01,David Sedaris
35.01,David Sedaris
44.04,David Sedaris
47.02,David Sedaris
49.02,David Sedaris
52.03,David Sedaris
57.03,David Sedaris
60.04,David Sedaris
73.02,David Sedaris
82.03,David Sedaris
87.01,David Sedaris
87.03,David Sedaris
97.01,David Sedaris
99.01,David Sedaris
104.01,David Sedaris
136.02,David Sedaris
137.02,David Sedaris
141.02,David Sedaris
148.05,David Sedaris
154.01,David Sedaris
161.06,David Sedaris
173.03,David Sedaris
193.03,David Sedaris
194.04,David Sedaris
198.01,David Sedaris
201.02,David Sedaris
214.03,David Sedaris
221.03,David Sedaris
225.05,David Sedaris
235.03,David Sedaris
240.01,David Sedaris
241.11,David Sedaris
257.03,David Sedaris
277.01,David Sedaris
288.02,David Sedaris
303.03,David Sedaris
305.04,David Sedaris
308.03,David Sedaris
315.03,David Sedaris
319.04,David Sedaris
464.04,David Sedaris
517.04,David Sedaris
268.01,David Segal
279.01,David Segal
281.01,David Segal
285.02,David Segal
309.03,David Segal
401.01,David Segal
531.02,David Segal
568.03,David Segal
283.01,David Wilcox
325.02,David Wilcox
595.01,David Zax
184.01,Davy Rothbart
212.01,Davy Rothbart
239.03,Davy Rothbart
262.01,Davy Rothbart
306.03,Davy Rothbart
327.01,Davy Rothbart
89.03,Deb Monroe
110.04,Deb Monroe
317,Deborah Blum
209.01,Debra Gwartney
298.02,Diane Cook
44.02,Dick Orkin
44.06,Dick Orkin
148.04,Dick Orkin
57.01,Dierdre Dolan
74.02,Dishwasher Pete
102.01,Dishwasher Pete
115.01,Dishwasher Pete
344.02,Dmae Roberts
449.03,Domingo Martinez
526.01,Domingo Martinez
89.04,Donald Antrim
93.03,Donald Hall
13.01,Doris Wilbur
329.04,Douglas McGray
338.02,Douglas McGray
364.03,Douglas McGray
131.02,Ed Dixon
270.01,Eddie Schmidt
422.02,Edith Zimmerman
603.01,Eleanor Gordon-Smith
302,Eli Ramirez
234.04,Elizabeth Gilbert
244.03,Elizabeth Gilbert
116,Elizabeth Meister
343,Elizabeth Meister
336.01,Ellen Horne
313,Ellen Spiro
347.03,Elna Baker
421.03,Elna Baker
483.01,Elna Baker
506.02,Elna Baker
524.02,Elna Baker
541,Elna Baker
558.04,Elna Baker
589.02,Elna Baker
602.09,Elna Baker
610.03,Elna Baker
571.02,Elsa Waithe
306.04,Elsbeth Carruthers
497.06,Emily Bazelon
112.03,Emily Colas
541.01,Emily Hsiao
596.02,Emmanuel Dzotsi
602.11,Emmanuel Dzotsi
285.01,Enid Graham
315.01,Eric Holm
346.01,Eric Klinenberg
434.07,Eric Mennel
301,Erin EInhorn
301.01,Erin EInhorn
161.05,Ernest Castle
242.03,Etgar Keret
274.04,Etgar Keret
285.03,Etgar Keret
357.01,Etgar Keret
381.04,Etgar Keret
393.04,Etgar Keret
397.04,Etgar Keret
404.04,Etgar Keret
428.04,Etgar Keret
468,Etgar Keret
518.05,Etgar Keret
559.04,Etgar Keret
577.03,Etgar Keret
413.02,Eugene Mirman
467.01,Evan Osnos
575.04,Evan Osnos
327.03,Eve Abrams
578.03,Eve Abrams
144.01,Felicity Jones
193.01,Felicity Jones
244.02,Felix Solis
448.02,Fiona Maazel
112.04,Frank Browning
403.01,Frank Langfitt
403.02,Frank Langfitt
561.01,Frank Langfitt
561.02,Frank Langfitt
227.04,Gabe Hudson
422.04,Gabe Liedman
330.02,Gabriel Delahaye
450.01,Gabriel Rhodes
288.01,Gabrielle Galanek
54.04,Gay Talese
574.01,Gay Talese
313.01,Gene Cheek
144.01,Genevieve Jurgensen
193.01,Genevieve Jurgensen
134.01,Geoff Dyer
81.02,Geoffrey Canada
157.01,George Gurley
213.01,George Ratliff
42.02,George Saunders
51.02,George Saunders
335.01,Gideon Yago
121.01,Gillian Aldrich
508.04,Glynn Washington
236.03,Greg Tate
264.02,Greg Warner
347.01,Greg Warner
369.01,Greg Warner
388.02,Greg Warner
39.06,Gregory Whitehead
247.02,Griffin Hansbury
590.02,Harry Enten
152.03,Haruki Murakami
194.03,Haruki Murakami
197.02,Heather O'Neill
212.03,Heather O'Neill
222.04,Heather O'Neill
305.03,Heather O'Neill
82.04,Heather Woodbury
281,Helen Thorpe
273.01,Hilary Hoffman
131.04,Hillary Frank
140.04,Hillary Frank
150.03,Hillary Frank
166.02,Hillary Frank
175.01,Hillary Frank
259.03,Hillary Frank
263.04,Hillary Frank
345.03,Hillary Frank
351.04,Hillary Frank
549.02,Hillary Frank
583.01,Hillary Frank
53.04,Hilton Als
188.02,Howie Chackowicz
605.03,Howie Chackowicz
489.01,Hyder Akbar
95.03,Ian Brown
187.02,Ian Brown
255.01,Ian Brown
349.03,Ian Brown
100.01,Iggy Scam
146.05,Iggy Scam
185.03,Iggy Scam
1,Ira Glass
1.01,Ira Glass
1.02,Ira Glass
2,Ira Glass
3.01,Ira Glass
4.01,Ira Glass
5,Ira Glass
5.01,Ira Glass
6,Ira Glass
6.02,Ira Glass
7,Ira Glass
7.02,Ira Glass
8,Ira Glass
8.01,Ira Glass
8.02,Ira Glass
8.03,Ira Glass
9,Ira Glass
10,Ira Glass
10.01,Ira Glass
10.02,Ira Glass
10.03,Ira Glass
11.01,Ira Glass
11.03,Ira Glass
12,Ira Glass
13,Ira Glass
13.01,Ira Glass
14,Ira Glass
14.01,Ira Glass
14.02,Ira Glass
15,Ira Glass
16.01,Ira Glass
16.02,Ira Glass
16.04,Ira Glass
17,Ira Glass
17.01,Ira Glass
17.02,Ira Glass
19.02,Ira Glass
19.03,Ira Glass
20.01,Ira Glass
20.02,Ira Glass
20.03,Ira Glass
20.04,Ira Glass
21.03,Ira Glass
22,Ira Glass
22.01,Ira Glass
23,Ira Glass
23.02,Ira Glass
23.03,Ira Glass
24,Ira Glass
25.01,Ira Glass
25.02,Ira Glass
25.03,Ira Glass
25.04,Ira Glass
25.05,Ira Glass
27,Ira Glass
28,Ira Glass
28.02,Ira Glass
29,Ira Glass
29.02,Ira Glass
30.01,Ira Glass
32.01,Ira Glass
32.02,Ira Glass
34,Ira Glass
34.01,Ira Glass
34.02,Ira Glass
34.03,Ira Glass
35,Ira Glass
35.03,Ira Glass
37,Ira Glass
38.01,Ira Glass
38.03,Ira Glass
38.04,Ira Glass
39,Ira Glass
39.01,Ira Glass
39.02,Ira Glass
39.03,Ira Glass
39.05,Ira Glass
41.01,Ira Glass
42.01,Ira Glass
43.01,Ira Glass
43.02,Ira Glass
44.01,Ira Glass
44.05,Ira Glass
45.01,Ira Glass
46.03,Ira Glass
47.01,Ira Glass
48.01,Ira Glass
48.03,Ira Glass
49,Ira Glass
50,Ira Glass
50.01,Ira Glass
50.03,Ira Glass
51,Ira Glass
51.03,Ira Glass
52,Ira Glass
52.02,Ira Glass
53,Ira Glass
54,Ira Glass
54.01,Ira Glass
54.03,Ira Glass
55,Ira Glass
56,Ira Glass
57,Ira Glass
58,Ira Glass
59.02,Ira Glass
59.04,Ira Glass
60,Ira Glass
60.02,Ira Glass
62,Ira Glass
63,Ira Glass
63.04,Ira Glass
64,Ira Glass
65,Ira Glass
65.01,Ira Glass
67,Ira Glass
68,Ira Glass
68.01,Ira Glass
68.02,Ira Glass
69,Ira Glass
70,Ira Glass
71,Ira Glass
71.03,Ira Glass
72,Ira Glass
73,Ira Glass
74,Ira Glass
74.03,Ira Glass
75,Ira Glass
76,Ira Glass
77,Ira Glass
78.01,Ira Glass
78.03,Ira Glass
78.04,Ira Glass
78.05,Ira Glass
79,Ira Glass
79.01,Ira Glass
79.02,Ira Glass
80,Ira Glass
80.02,Ira Glass
81,Ira Glass
81.02,Ira Glass
82,Ira Glass
82.01,Ira Glass
83,Ira Glass
84.01,Ira Glass
84.02,Ira Glass
85,Ira Glass
85.02,Ira Glass
85.04,Ira Glass
87,Ira Glass
87.03,Ira Glass
88,Ira Glass
88.01,Ira Glass
88.02,Ira Glass
88.04,Ira Glass
89,Ira Glass
89.01,Ira Glass
89.03,Ira Glass
90,Ira Glass
90.01,Ira Glass
90.03,Ira Glass
91.01,Ira Glass
92,Ira Glass
93,Ira Glass
94,Ira Glass
94.01,Ira Glass
95,Ira Glass
95.01,Ira Glass
96,Ira Glass
97,Ira Glass
97.02,Ira Glass
97.11,Ira Glass
98,Ira Glass
99,Ira Glass
99.03,Ira Glass
99.04,Ira Glass
100,Ira Glass
100.03,Ira Glass
100.04,Ira Glass
102,Ira Glass
104,Ira Glass
105,Ira Glass
105.01,Ira Glass
105.02,Ira Glass
106,Ira Glass
106.04,Ira Glass
107,Ira Glass
108,Ira Glass
109,Ira Glass
109.01,Ira Glass
109.02,Ira Glass
110,Ira Glass
110.01,Ira Glass
111,Ira Glass
111.01,Ira Glass
111.02,Ira Glass
112,Ira Glass
112.01,Ira Glass
112.02,Ira Glass
113,Ira Glass
113.03,Ira Glass
114,Ira Glass
114.03,Ira Glass
114.05,Ira Glass
115,Ira Glass
115.02,Ira Glass
116,Ira Glass
116.02,Ira Glass
116.03,Ira Glass
117,Ira Glass
118,Ira Glass
118.02,Ira Glass
119,Ira Glass
120,Ira Glass
122.01,Ira Glass
123,Ira Glass
124,Ira Glass
125,Ira Glass
125.01,Ira Glass
125.02,Ira Glass
125.04,Ira Glass
126,Ira Glass
126.01,Ira Glass
126.02,Ira Glass
127,Ira Glass
128,Ira Glass
128.02,Ira Glass
129,Ira Glass
129.02,Ira Glass
130,Ira Glass
130.02,Ira Glass
131,Ira Glass
131.01,Ira Glass
132,Ira Glass
132.01,Ira Glass
133,Ira Glass
133.03,Ira Glass
134,Ira Glass
135,Ira Glass
136,Ira Glass
136.01,Ira Glass
137,Ira Glass
137.01,Ira Glass
138,Ira Glass
138.02,Ira Glass
139,Ira Glass
140,Ira Glass
141,Ira Glass
141.03,Ira Glass
142,Ira Glass
143,Ira Glass
143.01,Ira Glass
143.02,Ira Glass
143.03,Ira Glass
144,Ira Glass
145.01,Ira Glass
146,Ira Glass
146.02,Ira Glass
147.01,Ira Glass
147.02,Ira Glass
147.03,Ira Glass
147.04,Ira Glass
147.05,Ira Glass
147.06,Ira Glass
147.07,Ira Glass
148,Ira Glass
149,Ira Glass
150,Ira Glass
150.02,Ira Glass
150.04,Ira Glass
151,Ira Glass
152,Ira Glass
152.02,Ira Glass
153,Ira Glass
154,Ira Glass
154.02,Ira Glass
155,Ira Glass
155.01,Ira Glass
155.03,Ira Glass
156,Ira Glass
157,Ira Glass
158,Ira Glass
159,Ira Glass
160,Ira Glass
160.01,Ira Glass
160.03,Ira Glass
160.04,Ira Glass
161,Ira Glass
161.01,Ira Glass
161.04,Ira Glass
161.07,Ira Glass
162,Ira Glass
163,Ira Glass
163.01,Ira Glass
164,Ira Glass
164.01,Ira Glass
165,Ira Glass
165.01,Ira Glass
165.02,Ira Glass
165.03,Ira Glass
166,Ira Glass
166.03,Ira Glass
167,Ira Glass
168,Ira Glass
168.01,Ira Glass
168.02,Ira Glass
169,Ira Glass
170,Ira Glass
170.02,Ira Glass
171,Ira Glass
172.01,Ira Glass
172.02,Ira Glass
173,Ira Glass
174,Ira Glass
174.02,Ira Glass
175.03,Ira Glass
176,Ira Glass
176.01,Ira Glass
176.03,Ira Glass
176.04,Ira Glass
176.05,Ira Glass
177,Ira Glass
177.03,Ira Glass
178,Ira Glass
178.03,Ira Glass
178.04,Ira Glass
179,Ira Glass
179.01,Ira Glass
179.02,Ira Glass
179.03,Ira Glass
179.04,Ira Glass
180,Ira Glass
180.01,Ira Glass
180.02,Ira Glass
181,Ira Glass
182,Ira Glass
182.02,Ira Glass
183,Ira Glass
184,Ira Glass
185,Ira Glass
185.02,Ira Glass
186,Ira Glass
186.02,Ira Glass
186.03,Ira Glass
187,Ira Glass
187.01,Ira Glass
188,Ira Glass
188.01,Ira Glass
189,Ira Glass
190,Ira Glass
190.03,Ira Glass
191.01,Ira Glass
192,Ira Glass
192.02,Ira Glass
193,Ira Glass
194,Ira Glass
194.01,Ira Glass
194.05,Ira Glass
195,Ira Glass
195.01,Ira Glass
195.02,Ira Glass
196,Ira Glass
197.01,Ira Glass
198,Ira Glass
199,Ira Glass
200,Ira Glass
201,Ira Glass
202,Ira Glass
202.01,Ira Glass
203,Ira Glass
204,Ira Glass
205,Ira Glass
205.03,Ira Glass
206.01,Ira Glass
207,Ira Glass
207.01,Ira Glass
208,Ira Glass
209,Ira Glass
210,Ira Glass
210.02,Ira Glass
211,Ira Glass
211.02,Ira Glass
212,Ira Glass
212.02,Ira Glass
213,Ira Glass
213.02,Ira Glass
214,Ira Glass
215,Ira Glass
216,Ira Glass
216.01,Ira Glass
217,Ira Glass
217.02,Ira Glass
218,Ira Glass
219,Ira Glass
220,Ira Glass
220.01,Ira Glass
220.02,Ira Glass
220.03,Ira Glass
221,Ira Glass
221.01,Ira Glass
222,Ira Glass
222.01,Ira Glass
223,Ira Glass
224,Ira Glass
225,Ira Glass
225.02,Ira Glass
225.03,Ira Glass
227,Ira Glass
227.01,Ira Glass
227.03,Ira Glass
228,Ira Glass
229,Ira Glass
230,Ira Glass
231,Ira Glass
231.03,Ira Glass
232,Ira Glass
233,Ira Glass
234,Ira Glass
234.03,Ira Glass
235.06,Ira Glass
236,Ira Glass
239,Ira Glass
241,Ira Glass
242,Ira Glass
242.02,Ira Glass
243,Ira Glass
244,Ira Glass
245,Ira Glass
245.02,Ira Glass
246,Ira Glass
249,Ira Glass
249.01,Ira Glass
249.03,Ira Glass
250,Ira Glass
251,Ira Glass
251.03,Ira Glass
252,Ira Glass
252.01,Ira Glass
252.02,Ira Glass
252.04,Ira Glass
253,Ira Glass
255,Ira Glass
256,Ira Glass
257,Ira Glass
257.04,Ira Glass
258,Ira Glass
259,Ira Glass
260,Ira Glass
261,Ira Glass
261.01,Ira Glass
262,Ira Glass
262.02,Ira Glass
263,Ira Glass
263.01,Ira Glass
263.03,Ira Glass
264,Ira Glass
265,Ira Glass
266,Ira Glass
267,Ira Glass
267.01,Ira Glass
268,Ira Glass
269,Ira Glass
270,Ira Glass
271,Ira Glass
271.01,Ira Glass
272,Ira Glass
272.01,Ira Glass
272.04,Ira Glass
273,Ira Glass
274,Ira Glass
274.01,Ira Glass
274.03,Ira Glass
275,Ira Glass
275.01,Ira Glass
275.02,Ira Glass
276,Ira Glass
276.01,Ira Glass
277,Ira Glass
277.02,Ira Glass
278,Ira Glass
279,Ira Glass
280,Ira Glass
280.01,Ira Glass
282,Ira Glass
284,Ira Glass
285,Ira Glass
286,Ira Glass
287,Ira Glass
288,Ira Glass
289,Ira Glass
289.01,Ira Glass
290,Ira Glass
290.01,Ira Glass
291,Ira Glass
291.02,Ira Glass
292,Ira Glass
293,Ira Glass
294,Ira Glass
295,Ira Glass
295.01,Ira Glass
296,Ira Glass
296.01,Ira Glass
297,Ira Glass
297.02,Ira Glass
298,Ira Glass
299.01,Ira Glass
300,Ira Glass
300.03,Ira Glass
303.01,Ira Glass
305,Ira Glass
306.01,Ira Glass
307,Ira Glass
308,Ira Glass
309,Ira Glass
311,Ira Glass
312.01,Ira Glass
312.02,Ira Glass
313,Ira Glass
314,Ira Glass
315,Ira Glass
316,Ira Glass
316.02,Ira Glass
317,Ira Glass
318,Ira Glass
318.02,Ira Glass
319,Ira Glass
320,Ira Glass
320.02,Ira Glass
320.03,Ira Glass
321,Ira Glass
322,Ira Glass
323,Ira Glass
